                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47738,                0.37023,                0.93475,                0.93866,                0.88751,                0.94695,                0.83155,                0.50823,                0.43511,                0.93975,               0.006535,               0.006535,               0.006535
                     37,                0.46368,                0.35516,                0.92266,                0.93024,                0.86835,                0.94332,                0.81143,                0.54191,                0.47123,                0.94017,               0.006436,               0.006436,               0.006436
                     38,                0.46526,                0.35167,                0.92857,                 0.8984,                0.91469,                 0.9472,                0.82959,                 0.5067,                0.45172,                0.92503,               0.006337,               0.006337,               0.006337
                     39,                0.45283,                0.34651,                0.91748,                0.92897,                0.90673,                0.94869,                0.83136,                0.51902,                0.44902,                0.94093,               0.006238,               0.006238,               0.006238
                     40,                0.45104,                0.34344,                0.93161,                0.93044,                0.88787,                0.94801,                0.83776,                0.51848,                0.46961,                0.95027,               0.006139,               0.006139,               0.006139
                     41,                0.46189,                0.34499,                 0.9315,                0.92102,                0.88942,                0.94187,                0.82033,                0.53705,                0.45884,                 0.9511,                0.00604,                0.00604,                0.00604
                     42,                0.45105,                0.34312,                0.92226,                0.91588,                0.91584,                0.95173,                0.83833,                0.51606,                0.43037,                0.95071,               0.005941,               0.005941,               0.005941
                     43,                 0.4342,                0.32855,                0.91744,                0.93102,                0.90665,                0.95254,                0.84437,                0.49918,                 0.4202,                0.93875,               0.005842,               0.005842,               0.005842
                     44,                0.44926,                0.34325,                0.92289,                0.91084,                0.90329,                0.94678,                0.83187,                0.51766,                0.43865,                0.93573,               0.005743,               0.005743,               0.005743
                     45,                0.44731,                0.34484,                0.92356,                0.93683,                0.89057,                0.95059,                0.83624,                0.50888,                 0.4229,                0.95146,               0.005644,               0.005644,               0.005644
                     46,                0.43953,                 0.3348,                0.92063,                0.93787,                0.87828,                0.94383,                 0.8326,                0.50879,                0.45496,                0.95014,               0.005545,               0.005545,               0.005545
                     47,                0.43575,                 0.3294,                0.91884,                0.92391,                0.90514,                0.95285,                0.84978,                0.48785,                0.41882,                0.93069,               0.005446,               0.005446,               0.005446
                     48,                0.43086,                0.33068,                0.90763,                0.94414,                0.89024,                  0.942,                0.82715,                0.51902,                0.46361,                0.94121,               0.005347,               0.005347,               0.005347
                     49,                0.42316,                0.31836,                0.91202,                0.92578,                0.90607,                0.95423,                0.84793,                0.49936,                0.42583,                0.93486,               0.005248,               0.005248,               0.005248
                     50,                0.41287,                0.31298,                0.89859,                0.91861,                0.91004,                0.95694,                0.84891,                0.49371,                0.44249,                0.92864,               0.005149,               0.005149,               0.005149
                     51,                0.41687,                0.31248,                  0.911,                0.92411,                0.91145,                0.95483,                0.84784,                0.49067,                0.42292,                0.92366,                0.00505,                0.00505,                0.00505
                     52,                0.40993,                0.30545,                0.90634,                0.94388,                0.88757,                0.95148,                0.84291,                0.48605,                0.42946,                0.92474,               0.004951,               0.004951,               0.004951
                     53,                0.41744,                0.31158,                0.90184,                0.93466,                0.89071,                 0.9526,                0.84167,                0.50908,                0.43184,                0.95102,               0.004852,               0.004852,               0.004852
                     54,                0.40674,                0.30371,                 0.9032,                0.92712,                0.90599,                0.95132,                0.84973,                0.49393,                0.43893,                0.93085,               0.004753,               0.004753,               0.004753
                     55,                0.40623,                0.30072,                0.90289,                0.94041,                0.89984,                0.95384,                0.85251,                0.48589,                0.41113,                0.92275,               0.004654,               0.004654,               0.004654
                     56,                0.40266,                0.29366,                 0.9035,                0.94019,                0.91364,                 0.9544,                0.84776,                0.49296,                0.39295,                0.92744,               0.004555,               0.004555,               0.004555
                     57,                0.39491,                0.29634,                0.89844,                0.93702,                0.89576,                0.95285,                0.85335,                0.48668,                0.43737,                0.92864,               0.004456,               0.004456,               0.004456
                     58,                0.39734,                0.29288,                0.89266,                0.93805,                0.91819,                0.95565,                0.85481,                0.47632,                0.42253,                0.91959,               0.004357,               0.004357,               0.004357
                     59,                0.38892,                0.28267,                0.89451,                0.94978,                0.90283,                0.95469,                0.85122,                0.49406,                0.43008,                0.92523,               0.004258,               0.004258,               0.004258
                     60,                0.39172,                0.28103,                0.90056,                0.94353,                0.89498,                0.94958,                0.84589,                0.49113,                0.41675,                0.92856,               0.004159,               0.004159,               0.004159
                     61,                0.39449,                0.28653,                0.89237,                0.94885,                0.88479,                0.94832,                0.84746,                0.48599,                 0.4148,                0.93016,                0.00406,                0.00406,                0.00406
                     62,                0.38964,                0.28429,                0.89459,                0.93591,                 0.8995,                 0.9512,                0.84679,                0.49317,                0.41813,                0.92695,               0.003961,               0.003961,               0.003961
                     63,                0.38245,                0.27688,                0.89076,                0.92623,                0.90411,                0.94833,                0.84717,                0.50565,                0.44102,                0.93145,               0.003862,               0.003862,               0.003862
                     64,                 0.3791,                0.27311,                0.88616,                0.93326,                0.91468,                0.95955,                0.86202,                0.47032,                0.41348,                0.91637,               0.003763,               0.003763,               0.003763
                     65,                0.37228,                0.27105,                 0.8878,                0.92931,                0.91458,                0.95705,                0.85915,                0.47212,                0.40301,                0.92691,               0.003664,               0.003664,               0.003664
                     66,                0.37183,                0.27073,                0.88781,                0.95053,                0.89983,                0.95601,                0.85783,                 0.4753,                 0.3968,                0.92615,               0.003565,               0.003565,               0.003565
                     67,                0.35893,                0.25954,                0.87987,                0.94328,                0.89899,                0.95528,                0.85177,                0.46715,                0.40148,                0.92455,               0.003466,               0.003466,               0.003466
                     68,                0.36669,                0.26155,                0.88505,                0.94768,                0.89658,                 0.9499,                0.85493,                0.47098,                0.41444,                0.92665,               0.003367,               0.003367,               0.003367
                     69,                0.36209,                0.26048,                0.88512,                0.94631,                0.89335,                0.95313,                0.85424,                0.47004,                0.40342,                0.93421,               0.003268,               0.003268,               0.003268
                     70,                0.35704,                0.25137,                0.87728,                0.95105,                0.90112,                0.95144,                0.85554,                0.47112,                0.40366,                 0.9458,               0.003169,               0.003169,               0.003169
                     71,                0.35559,                0.25485,                0.87559,                0.94639,                0.89931,                0.95078,                 0.8553,                0.48311,                0.40053,                0.94282,                0.00307,                0.00307,                0.00307
                     72,                0.35273,                0.25438,                0.88111,                0.94606,                0.90794,                0.94958,                0.85691,                0.47775,                0.40759,                0.94394,               0.002971,               0.002971,               0.002971
                     73,                0.36421,                0.25538,                0.88461,                0.93106,                0.90273,                0.94794,                0.85433,                0.46889,                0.41705,                0.91902,               0.002872,               0.002872,               0.002872
                     74,                 0.3515,                 0.2505,                0.88124,                0.92965,                0.91405,                0.94851,                0.85693,                0.46682,                0.40823,                0.93158,               0.002773,               0.002773,               0.002773
                     75,                0.34427,                0.24846,                0.87777,                0.94685,                0.90958,                0.94535,                0.84827,                 0.4754,                0.40928,                0.94281,               0.002674,               0.002674,               0.002674
                     76,                0.34445,                 0.2441,                0.87915,                0.93525,                0.91023,                0.95008,                0.86264,                0.46364,                0.40125,                0.93854,               0.002575,               0.002575,               0.002575
                     77,                0.34139,                0.23774,                0.87231,                0.93138,                 0.9114,                0.95012,                0.86141,                0.47032,                0.40684,                0.93179,               0.002476,               0.002476,               0.002476
                     78,                0.33695,                0.23171,                 0.8782,                0.93804,                0.90237,                 0.9533,                0.86567,                0.45624,                0.39729,                0.92554,               0.002377,               0.002377,               0.002377
                     79,                0.34948,                0.24048,                0.88149,                0.92086,                0.91815,                0.95546,                0.86403,                0.45154,                0.39084,                0.91713,               0.002278,               0.002278,               0.002278
                     80,                0.33745,                0.23638,                 0.8738,                0.93294,                 0.9145,                0.95619,                0.86766,                0.45183,                 0.4064,                0.91547,               0.002179,               0.002179,               0.002179
